domain_intent	sentence
$$Stock#AskStockTrendReason	跟我說股票會不會漲價
$$AskCurrentPosition#AskCurrentPosition	我現在位置
$$Freeway#GasolinePrice	油價漲還是跌
$$Exchange#ExchangeRate	今天泰幣的匯率
$$Movie#AskDateHotMovie	最近有什麼好看的電影
$$Weather#WorldWeather	我想要知道韓國的天氣
$$Stock#CanBuyItByName	股票鴻海可不可以買
$$Movie#AskMovieDetail	傻瓜向錢衝那時候會不會上映
$$Stock#AskStockInfoByName	台苯股票
$$Movie#BookingMovie	我要訂新竹國賓禮拜三下午的碟仙兩張
$$Exchange#ExchangeRate	台幣匯率
$$Stock#AskFutures	台股期貨
$$Exchange#ExchangeRate	人民幣換算台幣
$$Weather#WorldWeather	峇里島天氣
$$Freeway#GasolinePrice	那下週油價
$$THSRC#Order	我想訂高雄站到台南站的高鐵票
$$Movie#AskCityTheaters	桃園有電影院嗎
$$Movie#AskDateHotMovie	今天有什麼電影好看
$$Stock#AddStockToMyStock	請問萬潤增加
$$Movie#AskToTheater	桃園統領戲院的位置
$$Stock#AskFutures	台灣期貨八月六號
$$Exchange#AExchangeB	請問港幣一元是多少人民幣
$$Weather#TaiwanRegionWeather	明天南部天氣
$$Stock#AskListedExponent	加權住宿多少
$$AskTwTime#AskTWTime	台灣現在幾點了
$$Railway#Order	八月二十一號晚上莒光台北到台東一張
$$Freeway#Freeway	蔣渭水高速公路鹽南路段路況
$$Stock#CanBuyItByName	可以買長天期
$$Exchange#AExchangeB	五萬台幣換多少日幣
$$Movie#AskToTheater	幸福戲院的地址
$$Movie#AskDateHotMovie	熱門影片
$$Movie#AskCityTheaters	台南現在有電影院嗎
$$Movie#BookingMovie	我要訂東南亞劇院明天的小王子兩張
$$Freeway#ExceptionPlaceAsk	花蓮到樹林
$$Poi#PoiLocationNearBy	台北市松山區鐵窗行業公會怎麼去
$$Freeway#FreewayAtoB	從這裡到竹北要多久
$$Movie#AskCityTheaters	大坑路有電影院嗎
$$Weather#LocalAirPollution	嘉義的空氣品質
$$Weather#TaiwanRegionWeather	未來一週南部天氣
$$Weather#SpotWeather	今年阿里山會很冷嗎
$$Weather#LocalAirPollution	那空氣品質好嗎
$$Freeway#FreewayAtoB	台北到新竹塞車嗎
$$Weather#LocalAirPollution	那今天的空氣品質好嗎
$$TPEMRT#TPEMRTAtoB	請幫我規劃從小碧潭去亞東醫院站
$$Freeway#Freeway	今天國道三號的路況
$$Stock#AskMarket	股票收盤指數的那
$$Freeway#FreewayJunctionRule	安坑交流道到龍潭交流道塞嗎
$$Weather#TaiwanRegionWeather	北部氣溫
$$Freeway#FreewayJunctionRule	五堵交流道有塞車嗎
$$AskTwDate#AskTWDate	今天的日期是什麼
$$Freeway#FreewayAtoB	南港到左營中間有塞車嗎
$$Freeway#FreewayAtoB	國道五號台北到宜蘭的交通狀況
$$Movie#AskCityTheaters	大台北的戲院有哪些
$$Poi#PoiLocationNearBy	王子飯店怎麼去
$$Freeway#GasolinePrice	請問油價
$$Weather#LocalAirPollution	今天空氣品質如何
$$Stock#AskStockFund	桃園的股票
$$Movie#AskToTheater	威秀影城的地址
$$Weather#SpotWeather	清境農場的天氣
$$Freeway#FreewayAtoB	三重到台北車流多嗎
$$Poi#TaiwanAreaPoi	南部哪裡有特色燒肉
$$THSRC#Order	高鐵的訂票
$$Weather#SpotWeather	陽明山天氣
$$Movie#AskCategoryMoviesByTheater	南紡夢時代五月十三日上了什麼鬼片
$$Weather#LocalWeather	今天的天氣彰化
$$Weather#WorldWeather	上海天氣
$$Stock#AskMarket	F-慧洋大盤指數
$$Stock#AskCounterExponent	六月三十收盤價是多少
$$AskCurrentPosition#AskCurrentPosition	我在哪裡
$$Stock#AskMarket	股票台灣企銀
$$Exchange#ExchangeRate	美金換台幣
$$Freeway#Freeway	國道一號台中水南塞車嗎
$$Weather#SpotWeather	武陵農場晚上天氣
$$AskTwDate#AskTWDate	大年初一是幾號
$$Stock#CanBuyItByName	我可以買聯茂塞車
$$Poi#PoiAddr	基河路上的植物園怎麼走
$$Stock#AskStockFund	台南股票資訊的
$$Exchange#ExchangeRate	美元兌台幣換匯多少
$$Railway#Search	請幫我查火車
$$Stock#AskStockTrendReason	台南今天股市行情如何
$$Poi#PoiLocationNearBy	查師大附近有什麼吃的
$$Movie#AskMovies	信義威秀今天有飢餓遊戲嗎
$$UserNeedInstructions#UserNeedInstructions	你可以做什麼
$$Freeway#FreewayAtoB	南投往彰化車多嗎
$$AskCurrentPosition#AskCurrentPosition	請問我現在在哪裡
$$Weather#LocalAirPollution	空氣汙染
$$Railway#Search	下午三點有沒有自強號從台北往新竹
$$THSRC#Order	我要訂高鐵車票一張
$$Lottery#AskLottery	發票幾號開獎
$$THSRC#Order	我想要訂兩張從台北到台中的高鐵車票明天早上出發
$$Movie#AskDateNewMovie	現在有什麼電影剛上市
$$Freeway#FreewayAtoB	彰化到新竹的路況
$$Stock#AskMyStock	投資組合
$$Railway#Order	訂明天苗栗到台北的火車票
$$Weather#LocalAirPollution	今天的空氣好嗎
$$Railway#Order	一月五號台中到花蓮的普悠瑪兩張
$$TPEMRT#TPEMRTAtoB	七張到永安市場要幾站
$$Lottery#AskLottery	中獎號碼幾號
$$Freeway#GasolinePrice	今天的汽油價格
$$UserNeedInstructions#UserNeedInstructions	該說什麼
$$Stock#AddStockToMyStock	群創自選股票
$$Stock#AskStockTrendReason	請問明天葡萄王會漲定
$$Stock#WantToBuyStock	我想要買亞昕
$$Stock#AskStockHistory	今天F-紅馬歷史和
$$AskCurrentPosition#AskCurrentPosition	我現在的位置在哪
$$Exchange#ExchangeRate	日幣匯率
$$Freeway#GasolinePrice	查詢油價
$$Stock#AskStockHistory	調查禾鴻歷史的
$$Freeway#GasolinePrice	油價漲
$$Stock#AskListedExponent	今日台股加權指數
$$Stock#AskCounterExponent	今天的股票收盤指數
$$Stock#AskStockInfoByName	銘異今天股價多少
$$Movie#AskTheaters	高雄市哪裡有播LoveLive的戲院
$$Stock#CanBuyItByName	股票投資萬泰銀的
$$Freeway#FreewayAtoB	潭子到大甲會不會塞車
$$THSRC#Search	左營到台北高鐵票價
$$Lottery#AskLottery	四星彩的中獎號碼
$$Weather#WorldWeather	日本大阪天氣
$$Freeway#ExceptionPlaceAsk	花蓮國道路況
$$Freeway#FreewayAtoB	後龍到高雄會不會管制
$$Stock#AskStockInfoBySid	3310加
$$Poi#PoiAddr	新北市新店區附近的洗衣店怎麼去
$$Movie#AskFitMoviesByTheater	威秀有小孩可以看的電影嗎
$$Weather#TaiwanRegionWeather	南部會下雨嗎
$$Movie#AskToTheater	屏東市環球國賓影城怎麼去
$$Freeway#FreewayJunctionRule	后里國道路況
$$THSRC#Search	高鐵查詢
$$Freeway#FreewayAtoB	我要開車從高雄到台中怎麼走比較快
$$Movie#AskMovieDetail	飢餓遊戲女主角是誰
$$Movie#AskCityTheaters	查一下附近電影院
$$Freeway#GasolinePrice	汽油漲價了嗎
$$Stock#AskStockInfoByName	F*AS三商壽
$$AskTwTime#AskTWTime	你好請問現在時間
$$Movie#AskCityTheaters	新竹電影院哪裡比較多
$$Stock#AskListedExponent	今天加權指數收盤價
$$Exchange#AExchangeB	三百歐元等於多少台幣
$$Movie#AskTheaters	哪裡有演飢餓遊戲
$$Stock#AddStockToMyStock	股票永彰納入
$$Freeway#ExceptionPlaceAsk	台東到板橋
$$Railway#Order	我要訂台鐵
$$Railway#Search	幫我查七月十七號的台鐵車票
$$Movie#AskCityTheaters	附近有沒有電影院
$$AskTwTime#AskTWTime	台灣現在時間
$$Stock#AskStockTrendReason	世紀會漲嗎的走
$$AskCurrentPosition#AskCurrentPosition	我這裡是哪裡
$$Weather#SpotWeather	合歡山上面有下雪嗎
$$Exchange#ExchangeRate	南非幣匯率
$$Stock#AskStockTrendReason	星期一股票會漲嗎
$$Weather#SpotWeather	阿里山的天氣
$$Stock#AskMarket	大盤只是
$$Weather#SpotWeather	台北到太平山現在下雨嗎
$$AskTwDate#AskTWDate	今天是農曆幾月幾日
$$Freeway#FreewayAtoB	桃園坐到沙鹿要多久
$$Exchange#ExchangeRate	越南盾換台幣匯率好嗎
$$Stock#AskStockTrendReason	台碩股價大漲浪漫
$$Freeway#FreewayJunctionRule	請問現在國道一號草屯交流道路況
$$Stock#AskStockInfoByName	雷笛克股價如何
$$Movie#AskTheaters	演名偵探柯南的電影院
$$Stock#AskStockTrendReason	剛剛好台積電股票
$$THSRC#Order	高鐵我要訂票
$$Poi#PoiLocationNearBy	小霸尖山要從哪裡進去
$$AskTwDate#AskTWDate	今年中秋節幾月幾號
$$Stock#AskListedExponent	集中市場股價
$$AskTwDate#AskTWDate	今天星期幾幾月幾號
$$AskTwDate#AskTWDate	今天是幾月幾日
$$Freeway#Freeway	請問國道三號現在會塞車嗎
$$Stock#AskStockTrendReason	明天F-雅茗大漲田洋街
$$Freeway#FreewayJunctionRule	查詢新化系統的路況
$$AskTwDate#AskTWDate	大後天是幾月幾號
$$AskTwTime#AskTWTime	只是現在時間
$$Weather#TaiwanRegionWeather	花東的天氣
$$Movie#AskMovieDetail	飢餓遊戲好看嗎
$$AskCurrentPosition#AskCurrentPosition	哇噢我的現在位置在哪裡
$$Movie#AskDateHotMovie	現在最夯的電影
$$Stock#AskStockInfoBySid	3452吧
$$Exchange#AExchangeB	四十五萬八千日幣換回台幣
$$Freeway#FreewayJunctionRule	新竹交流道會不會塞車
$$Stock#CanBuyItByName	可以買嗎易福的
$$Stock#AskStockFund	要從台北股市
$$Movie#AskMovies	信義威秀什麼時候有動物方城市
$$Freeway#FreewayAtoB	哇從台南到高雄有沒有塞車
$$Railway#Search	元月十八日的火車查詢
$$Stock#AskStockInfoBySid	F-台南3050機車騎士
$$Lottery#AskLottery	六合彩開獎號碼
$$Movie#AskDateHotMovie	今天有什麼好看的電影呢
$$Stock#AskStockInfoBySid	買2501華泰
$$Exchange#ExchangeRate	人民幣兌換台幣的匯率
$$Movie#AskMovies	花蓮影城星期五播放的影片
$$Freeway#FreewayAtoB	大溪到龍潭有沒有管制
$$Lottery#AskLottery	三星彩中獎號碼
$$Movie#AskMovies	信義威秀有美國隊長三嗎
$$UserSayNo#UserSayNo	地圖不對
$$Freeway#Freeway	國道一號車流南下彰化
$$Freeway#FreewayJunctionRule	我要明天國道路況
$$Stock#CanBuyItByName	請問浩鑫投資小螞蟻
$$Freeway#Freeway	查詢國道一號車流量
$$Weather#LocalWeather	現在氣溫多少度
$$Weather#LocalWeather	明天馬太鞍的天氣資訊
$$THSRC#Search	高鐵車票的時刻表
$$Stock#AskMarket	但大盤
$$Freeway#GasolinePrice	本週五油價漲還是跌的
$$Stock#AskStockInfoBySid	1906也
$$Exchange#AExchangeB	新台幣兩萬換日幣
$$AskTwTime#AskTWTime	請問現在的時間是幾點
$$AskTwDate#AskTWDate	今天星期幾呀
$$Stock#AskMarket	股票上漲還是下跌
$$Stock#AskMarket	你可以預測股票
$$Weather#WorldWeather	請問明天北京天氣如何
$$Stock#AskStockTrendReason	F-麗豐大漲
$$AskTwDate#AskTWDate	請問今天幾號
$$Exchange#ExchangeRate	今天台幣匯率如何
$$Poi#PoiLocationNearBy	新光三越大有店怎麼去
$$Freeway#ExceptionPlaceAsk	彰化到台東
$$Freeway#FreewayJunctionRule	現在到新竹交流道的交通路況的
$$Freeway#ExceptionPlaceAsk	鳳山到太麻里
$$Poi#PoiLocationNearBy	找逢甲大學附近的車站
$$AskTwDate#AskTWDate	中元節是幾號
$$Stock#AskCounterExponent	今天的道瓊指數手機店的
$$Weather#WorldWeather	今天天津天氣好嗎
$$Stock#CanBuyItByName	附近有哪裡可以買國化
$$Movie#AskDateHotMovie	告訴我現在熱門電影
$$Railway#Search	幫我查到五堵車站的區間車
$$Stock#AskStockHistory	F-康控歷史都
$$Weather#SpotWeather	太平山的天氣
$$Weather#WorldWeather	溫哥華現在天氣
$$Weather#LocalAirPollution	現在空氣
$$Railway#Order	板橋到桃園的台鐵
$$Movie#AskTheaters	忍者龜破影而出播放時間
$$Weather#TaiwanRegionWeather	台灣南部會不會有濃霧
$$AskTwTime#AskTWTime	現在是幾點幾分
$$Stock#AskMarket	台南股票五福股票網路
$$Poi#PoiLocationNearBy	現在位置附近有什麼好吃的
$$Stock#AskStockTrendReason	五福會不會大漲的
$$Stock#AskMarket	今天股市漲還是跌
$$Poi#PoiLocationNearBy	新竹市大潤發購物中心怎麼去
$$Movie#AskDateHotMovie	你最想要看什麼熱門電影
$$Freeway#GasolinePrice	這個月的油價
$$Weather#WorldWeather	韓國釜山現在溫度
$$Freeway#GasolinePrice	油價近日已漲嗎
$$Weather#WorldWeather	日本的天氣
$$Weather#LocalAirPollution	澎湖空氣汙染
$$Stock#AskStocksByCategory	航運股漢翔
$$Poi#PoiAddr	南京東路五段一百八十八號附近停車場該怎麼走
$$Stock#AskMyStock	請問鴻友自選股票
$$Stock#AskStockHistory	F-太和歷史
$$Stock#AskMarket	台股大盤只是
$$Gold#AskGold	現在黃金多少錢
$$Weather#WorldWeather	廈門的天氣
$$Weather#LocalAirPollution	我要戴口罩出門嗎
$$Movie#AskTheaters	請問新北市有沒有電影院播小小兵
$$Stock#AskStockInfoBySid	5520的
$$Gold#AskGold	黃金一千價格
$$Stock#AskMarket	他今天的股票
$$Exchange#AExchangeB	五美金兌台幣
$$Movie#AskDateHotMovie	現在哪齣電影比較好看
$$AskTwDate#AskTWDate	昨天星期幾
$$Freeway#GasolinePrice	今日油價
$$Movie#AskCityTheaters	台中市有哪些電影院
$$Railway#Search	查詢最近的台鐵火車時間
$$THSRC#Order	台北到台中的高鐵一張
$$Lottery#AskLottery	民國一百零四年九月十月份發票中獎號碼
$$AskTwTime#AskTWTime	現在時間
$$Weather#LocalWeather	花蓮市天氣
$$Movie#AskMovieDetail	名偵探柯南好看嗎
$$Poi#GoToAddr	桃園市中壢區永福路一三九巷該怎麼走
$$Stock#AskStockFund	台北股市的
$$Weather#WorldWeather	倫敦氣候
$$Weather#LocalAirPollution	我想知道台中梧棲區的空氣品質
$$Movie#AskDateHotMovie	明天有什麼電影好看
$$Railway#Order	我要一張從台南到高雄的火車票
$$Stock#AskStockTrendReason	明天哪一支股票會漲嗎
$$Lottery#AskLottery	二月十一號的樂透開獎
$$Freeway#Freeway	國道一號路況南下
$$Railway#Search	查台鐵票的價錢
$$Movie#AskMovies	信義威秀還有演美國隊長三嗎
$$Railway#Search	火車查詢表
$$Weather#LocalWeather	新北下禮拜天氣
$$Movie#AskCategoryMoviesByTheater	澎湖威秀有上愛情片嗎
$$Railway#Order	我要訂的是六月九號台中往高雄的火車
$$Freeway#ExceptionPlaceAsk	桃園到淡水怎麼坐車比較快
$$Exchange#ExchangeRate	菲律賓披索換美金
$$Freeway#FreewayJunctionRule	永康交流道路況
$$Freeway#GasolinePrice	你現在的油價是多少
$$Weather#LocalAirPollution	台南市二月十三日空氣好嗎
$$Stock#AskStockTrendReason	明天股票會不會漲
$$Railway#Search	你查的是一月三十號從台北到台南六點出發的所有車種
$$Movie#AskTheaters	花蓮有沒有播LoveLive
$$Freeway#FreewayAtoB	嘉義到網寮車多不多
$$Movie#AskDateNewMovie	目前最新的電影是什麼
$$Weather#SpotWeather	拉拉山今天的天氣
$$TPEMRT#TPEMRTAtoB	中正紀念堂捷運站到新埔多少錢
$$Stock#AskStockTrendReason	好股票鴻海
$$Stock#AskStockInfoBySid	三陽機車2206
$$Railway#Search	花蓮到台北的火車時間
$$TPEMRT#TPEMRTAtoB	忠孝新生站到古亭站多少錢
$$UserNeedInstructions#UserNeedInstructions	我再問什麼你在說什麼
$$Poi#PoiAddr	查台中市大肚區員林路二段七十九巷五十八弄八號附近的麥當勞
$$Freeway#FreewayJunctionRule	我想要知道宜蘭交流道路況
$$Movie#AskToTheater	義大世界國賓影城在哪裡
$$Movie#AskDateHotMovie	有播什麼電影好看的
$$Exchange#AExchangeB	兩千塊日幣換算成美金
$$AskTwTime#AskTWTime	查詢的時間
$$AskTwDate#AskTWDate	後天幾號
$$Exchange#ExchangeRate	澳幣換算台幣
$$Stock#AddStockToMyStock	請問群電加入
$$AskTwTime#AskTWTime	現在時間是幾
$$Railway#Order	我要訂台鐵沙鹿到花壇的莒光號一張
$$Movie#AskMovieDetail	暗殺教室的劇情大綱
$$Movie#AskCityTheaters	幫我找花蓮的電影城
$$Freeway#Freeway	請問國道三號北上有塞車嗎
$$Movie#AskMovieDetail	海綿寶寶電影好看嗎
$$AskTwTime#AskTWTime	可以查詢時間
$$Freeway#ExceptionPlaceAsk	宜蘭到南澳
$$Stock#AskStocksByCategory	生技股創源
$$Freeway#FreewayJunctionRule	頭城交流道路況
$$THSRC#Order	他說要買張到台中站的高鐵車票
$$AskTwTime#AskTWTime	現在幾點啊
$$AskTwTime#AskTWTime	現在中原標準時間是幾點
$$AskCurrentPosition#AskCurrentPosition	請問我現在的位置在哪裡
$$Railway#Search	自強號有沒有停靠潮州
$$Exchange#ExchangeRate	人民幣兌台幣的匯率
$$Stock#AskMarket	今天大盤指數是多少
$$Freeway#FreewayJunctionRule	中壢交流道往台南交流道路況
$$Movie#AskMovies	台北信義威秀現在有什麼電影
$$Weather#SpotWeather	十一月二日星期日谷關的天氣
$$Stock#AskStockTrendReason	好華碩股價持續
$$Stock#AskStockInfoBySid	1783日與
$$Freeway#FreewayAtoB	台北到基隆塞車嗎
$$Movie#AskMovieDetail	名偵探柯南二十三部劇場版名字
$$Weather#WorldWeather	埃及天氣
$$Stock#AskStockInfoByName	包括台揚股票
$$Movie#AskToTheater	我想去威秀影城看電影
$$Stock#AskStockFund	股票119甲
$$Freeway#GasolinePrice	一月十八日油價
$$Stock#AskStockInfoBySid	2353嗎
$$Freeway#FreewayAtoB	中壢到頭份要多久
$$Stock#AskStockInfoBySid	8080方式卻
$$Stock#AskStocksByCategory	航運股
$$Stock#AskStockInfoBySid	台南股票1717日的價錢來的
$$THSRC#Order	星期六我要一張高鐵票
$$AskTwDate#AskTWDate	元宵節是幾月幾號
$$Stock#AskMarket	股票分析和我的
$$AskTwDate#AskTWDate	去年的今天是星期幾
$$AskCurrentPosition#AskCurrentPosition	現在位置是
$$Movie#AskDateHotMovie	今天有什麼好看的電影
$$Exchange#ExchangeRate	台灣銀行日幣匯率
$$Poi#PoiLocationNearBy	文化醫院是在哪裡
$$AskCurrentPosition#AskCurrentPosition	告訴我現在位置
$$THSRC#Search	查詢高鐵與訂票
$$Weather#LocalWeather	明天員林電影城會下雨嗎
$$Movie#AskToTheater	國賓影城的地址
$$Freeway#FreewayJunctionRule	新竹交流道路況
$$Weather#WorldWeather	那霸天氣
$$Stock#AskMyStock	我的自選股
$$Poi#PoiAddr	桃園市鎮四街附近的便利商店
$$Stock#AskStockHistory	F-科納歷史他
$$Exchange#ExchangeRate	台幣換日幣多少錢
$$Gold#AskGold	請問今天黃金牌價是多少
$$Stock#AskStocksByCategory	靖宏電子股價
$$Railway#Order	高雄左營站到台北的普悠瑪一張
$$Gold#AskGold	想看黃金牌價
$$Weather#WorldWeather	日本北海道氣溫
$$AskTwTime#AskTWTime	我們現在幾點鐘
$$TPEMRT#TPEMRTAtoB	中正紀念堂站到台北小巨蛋站幾站
$$AskTwTime#AskTWTime	我現在的時間
$$Stock#AskMarket	哦那個大盤
$$Weather#SpotWeather	拉拉山會不會下雪
$$Weather#LocalWeather	田中在下雨嗎
$$Weather#WorldWeather	洛陽天氣幾度
$$Poi#PoiLocationNearBy	高雄市鳳山區中正國小在哪裡
$$Poi#GoToAddr	台北市農安街你會走嗎
$$Freeway#ExceptionPlaceAsk	七雄是哪
$$AskTwTime#AskTWTime	幾點呢
$$Movie#AskTheaters	皮卡丘的電影哪裡有
$$Stock#AskListedExponent	活動量加權指數
$$Stock#AskStockInfoBySid	6243拒絕
$$UserNeedInstructions#UserNeedInstructions	結果我要講什麼
$$Weather#LocalWeather	花蓮縣吉安鄉天氣狀況
$$Stock#AddStockToMyStock	F*AS納入啦
$$Stock#CanBuyItByName	台泥可以買
$$AskTwDate#AskTWDate	明天農曆幾號啦
$$THSRC#Search	請幫我查高鐵票
$$Movie#AskMovies	麻豆戲院的電影
$$Stock#AskStockInfoByName	股票中探針的浩劫
$$Movie#AskMovies	信義威秀有演全面攻佔二嗎
$$Freeway#ExceptionPlaceAsk	東港到桃園
$$Weather#WorldWeather	澳門現在溫度
$$Stock#AddStockToMyStock	請問晶采加進
$$Movie#AskDateHotMovie	最近熱門電影是什麼
$$Exchange#ExchangeRate	台幣和韓幣的匯率是多少
$$Movie#AskToTheater	豐源影城在哪裡
$$TPEMRT#TPEMRTAtoB	怎麼從七張站到淡水站
$$Stock#AskStockHistory	請告訴我欣天然歷史
$$Stock#AskStockFund	台南股票衛展
$$AskCurrentPosition#AskCurrentPosition	至於現在在哪裡
$$Stock#AskStocksByCategory	華城電機股票
$$Railway#Order	我要訂從台北到高雄的火車票三張
$$Stock#AskCounterExponent	昨天股市行情
$$Weather#SpotWeather	明天宜蘭太平山天氣如何
$$Stock#AskStocksByCategory	中廣金融股漲幅前
$$Stock#AskStockTrendReason	看好中鋼股票
$$Weather#SpotAirPollution	南投溪頭神木森林區明天空氣如何
$$Movie#AskDateHotMovie	有什麽好看的電影
$$Stock#AskStockInfoByName	聯華電子
$$Movie#AskMovieDetail	不可能的任務演員有誰
$$Stock#AskMarket	什麼股票會大
$$Freeway#ExceptionPlaceAsk	大埤路況
$$Railway#Search	查東澳火車站到大湖火車站的車次
$$Poi#PoiLocationNearBy	中國科技大學附近有什麼
$$Movie#AskCityTheaters	台南電影院在哪邊
$$Poi#TaiwanAreaPoi	中部那裡好玩
$$Movie#AskTheaters	大長今在播鬼撕眠嗎
$$Freeway#GasolinePrice	那請報價下下週油價
$$Exchange#ExchangeRate	那請問澳幣現在如何換算
$$Freeway#Freeway	國道一號車況
$$Freeway#Freeway	北二高狀況
$$Movie#AskDateHotMovie	我想知道最近好看的電影有什麼
$$Weather#WorldWeather	我想知道美國的天氣
$$AskTwTime#AskTWTime	請問現在幾點幾分
$$Stock#AskStockInfoBySid	買1568
$$Freeway#FreewayAtoB	新市到斗六有塞車嗎
$$Stock#AskStockHistory	先益歷史
$$Stock#AskStockTrendReason	今天股市會不會上漲
$$Weather#LocalWeather	關渡氣溫
$$Stock#AskStocksByCategory	汽車股的東洋太陽能量多花錢
$$Freeway#ExceptionPlaceAsk	新豐到板橋
$$Lottery#AskLottery	統一發票的開獎
$$Poi#GoToAddr	河北一街一百九十二號在那裡
$$Freeway#Freeway	國道一號北上新竹路況
$$Freeway#FreewayJunctionRule	我想知道中投交流道路況
$$THSRC#Order	高鐵左營站到台北要兩張
$$Stock#WantToBuyStock	我想買股票
$$Stock#AddStockToMyStock	化纖股云光選為
$$Exchange#AExchangeB	三千美金兌台幣
$$Movie#AskLevelMoviesByTheater	豪華戲院放的限制級電影
$$Movie#AskMovies	現在國賓有什麼好看
$$Freeway#Freeway	中山高的路況
$$Railway#Order	台鐵訂票瑞芳到台北的自強號兩張
$$Lottery#AskLottery	發票對獎號碼
$$AskTwDate#AskTWDate	今天星期幾呢
$$Poi#PoiLocationNearBy	高雄市漢民國小怎麼去
$$Freeway#Freeway	雪山隧道暢通嗎
$$Freeway#FreewayAtoB	台北到嘉義塞車嗎
$$Stock#AskMarket	海科大股票
$$Movie#AskMovies	台中大劇院放映啥麼
$$Movie#AskDateHotMovie	最近的熱門影片
$$Freeway#FreewayAtoB	從左營到嘉義路程有多遠
$$Railway#Order	斗六到台東站普悠瑪號
$$Weather#TaiwanRegionWeather	請問現在中部天氣如何
$$Movie#AskDateHotMovie	最熱門的電影是什麽
$$Movie#AskToTheater	台茂歡影城在哪邊
$$Freeway#ExceptionPlaceAsk	蘇澳到花蓮
$$Stock#AskStockInfoByName	鈺創科技二十二號阿潭上到上千元
$$Weather#LocalAirPollution	苗栗的空氣狀況
$$Gold#AskGold	買進黃金牌價
$$Stock#AskStockInfoBySid	3037黃海
$$Movie#AskDateHotMovie	大台北地區熱門電影
$$Freeway#FreewayAtoB	官田到和美多遠
$$Freeway#GasolinePrice	最新油價
$$UserSayNo#UserSayNo	我們可不是
$$TPEMRT#TPEMRTAtoB	捷運象山站到大安站幾站
$$Freeway#FreewayJunctionRule	國道三號木柵交流道會塞車嗎
$$Stock#CanBuyItByName	全家可以買大宇都不
$$Freeway#FreewayAtoB	彰化到台南車流如何
$$Weather#WorldWeather	東京的溫度
$$Stock#AskStockTrendReason	明天股票會漲嗎
$$Stock#AskListedExponent	加權指數
$$AskTwTime#AskTWTime	現在幾點
$$Exchange#ExchangeRate	日幣現金匯率
$$Stock#AskMarket	台股有機會
$$UserNeedInstructions#UserNeedInstructions	該說什麼嗎
$$AskTwTime#AskTWTime	請問幾點
$$Stock#AskStockTrendReason	亞泥競國大漲嗎
$$Stock#AskMarket	不過我偏好股票
$$Lottery#AskLottery	大樂透中獎號碼
$$Railway#Search	台北到楠梓火車時刻
$$Freeway#FreewayAtoB	桃園到新竹有塞車嗎
$$Freeway#ExceptionPlaceAsk	松山到池上
$$Gold#AskGold	黃金金價
$$Stock#AskStockInfoByName	易通展股價
$$Stock#AskStockTrendReason	F-麗豐會漲的
$$Movie#AskMovies	台南市大遠百威秀影城今天的電影時刻放映表
$$Stock#HelpBySettingMyStock	設定我的自選股
$$UserNeedInstructions#UserNeedInstructions	我可以問什麼問題
$$Freeway#Freeway	北二高交通狀況
$$Stock#AskLimitUpAndDown	漲停的股票
$$Exchange#AExchangeB	一塊錢人民幣兌台幣
$$Exchange#AExchangeB	一人民幣能換台幣多少
$$AskTwDate#AskTWDate	請問今天幾月幾號
$$Weather#LocalAirPollution	今天的空氣污染指數
$$Stock#CanBuyItByName	華南金計畫投資到而
$$Stock#AskMarket	漫步我要查股票
$$THSRC#Order	桃園到台中的高鐵
$$UserSayNo#UserSayNo	你不是不能
$$Movie#AskToTheater	美麗華怎麼走
$$Freeway#FreewayJunctionRule	深坑系統的路況
$$Stock#AskMarket	股票指數股票資訊
$$Movie#AskToTheater	中和環球影城的地址
$$Stock#AskStockInfoByName	富邦金控
$$Freeway#FreewayJunctionRule	基隆交流道路況
$$Movie#AskToTheater	光點華山怎麼去
$$Movie#AskMovies	夢時代喜滿客影城電影有播什麼片
$$Movie#AskDateNewMovie	台中電影院有新上映的電影嗎
$$UserSayNo#UserSayNo	不是複訊
$$Stock#AskMarket	好股票只是
$$Exchange#AExchangeB	新台幣二十萬換日幣
$$Stock#AskStockInfoByName	而中華電股價
$$Lottery#AskLottery	樂透開幾號
$$Stock#AskStockInfoByName	中工股票
$$Freeway#ExceptionPlaceAsk	過年期間大武路況
$$Stock#AskStocksByCategory	難道電腦股價
$$Weather#SpotWeather	日月潭的氣溫
$$Freeway#ExceptionPlaceAsk	瑞穗到花蓮
$$Movie#AskLevelMoviesByTheater	秀泰放的普遍級電影
$$AskTwTime#AskTWTime	給我時間
$$Movie#AskMovies	豐源影城有上什麼特別的電影嗎
$$Stock#AskListedExponent	很少加權指數
$$Stock#AskStocksByCategory	維修電腦股價便
$$Lottery#AskLottery	哦對發票號碼是多少
$$THSRC#Search	查高鐵三點的時刻表
$$Stock#AskStockInfoByName	車王電
$$Stock#AskStockFund	桃園股票資訊
$$Railway#Search	台鐵查詢
$$Stock#AskStockTrendReason	股票得利影的好奇
$$Freeway#Freeway	國道五號雪山隧道路況
$$Stock#AskStocksByCategory	環球水泥股票行情
$$Poi#PoiLocationNearBy	晚上三多商圈哪裡可以住宿
$$Stock#AskStocksByCategory	鋼鐵股的
$$Weather#WorldWeather	蘇州的天氣很冷嗎
$$Poi#TaiwanAreaPoi	中部好玩景點
$$Movie#AskToTheater	板橋秀泰在哪裡
$$Stock#AskMarket	今日股市行情
$$Freeway#Freeway	那雪山隧道路況
