label,sentence
$$Weather,我現在 出門 需要 帶傘 嗎
$$Other,我想要問 上市 情況
$$Weather,明天 晚上 回家 的 時候 會不會下雨
$$Other,我想看 一代宗師 能 到哪
$$Weather,出門 要 帶傘 嗎
$$Weather,明天 新店區 降雨 機率 高 嗎
$$Weather,台北 明天 的 降雨 機率
$$Weather,氣溫
$$Weather,明天 去 淡水 要 帶雨衣 嗎
$$Weather,明天 台北 降雨 機率 有多少
$$Other,大盤 價 跌 多少
$$Other,你 會 討厭 陰天 嗎
$$Other,我想要找 油 電 股
$$Weather,這是 今年 第一個 颱風 嗎
$$Weather,週五 寒流 會 來 嗎
$$Weather,現在 桃園大溪 區 的 濕度 多少
$$Weather,新店 地區 今天下午 五點 的 天氣狀況
$$Other,我要找 萬芳 交流道 往 南 的 路況
$$Weather,天氣
$$Weather,台北 有 下雨 嗎
$$Weather,明天 土城 天氣 如何
$$Other,我要知道 大城 去 楊梅 怎麼 開
$$Other,上市 走勢
$$Other,請幫我找 六月份 票房 最好的 電影
$$Weather,明天 早上 中南 港 地區 會 下雨 嗎
$$Other,加權 表現
$$Weather,明天 台南 會不會下雨
$$Weather,今天 會 冷嗎
$$Weather,今天中午 紫外線 多 強
$$Weather,下週 有 颱風 嗎
$$Weather,後天 台北 溫度
$$Weather,這 周 天氣 怎麼樣
$$Weather,今天 濕度 幾度
$$Weather,明天 新店 會 很熱 嗎
$$Weather,颱風 什麼時候 會 登陸
$$Weather,這幾天 早晚 溫差 多少
$$Other,我的 股票
$$Other,過年 是 哪天
$$Weather,阿姆斯特丹 這三天 的 氣溫
$$Weather,我要知道 明天 基隆 的 天氣
$$Weather,基隆 現在 會 很熱 嗎
$$Other,東聲戲院 放什麼 片
$$Other,斗六 附近有 啥 好玩的
$$Other,現金 買 紐 幣 的 匯率 是 多少
$$Weather,現在 外面 空氣品質
$$Weather,今天 氣溫 如何
$$Weather,明天 台北 降雨 機率
$$Other,請幫我找 TVBS 這 期 有關 柯文哲 的 報導
$$Weather,晚上 會不會 變冷 阿
$$Weather,我們 要去 的 地方 是不是 正在 下雨
$$Weather,一週 的 天氣
$$Other,我 該怎麼去 金山
$$Weather,今天 新竹 風 很強 嗎
$$Weather,今天早上 的 空氣品質 怎麼樣
$$Other,有 即 期 匯率 可以看 嗎
$$Other,給我 兩張 集集線 道源 泉 火車站 的 火車票
$$Weather,外面 很熱 嗎
$$Weather,晚上 需 不需要 穿外套
$$Weather,阿里山 現在有 下雪 嗎
$$Weather,明天 新店 出太陽 機率 很大 嗎
$$Weather,颱風 現在 在 那
$$Other,我想問 中埔 交流道 北上 道路 狀況
$$Other,哪家 電影院 有 上 屍 控 一夜情
$$Weather,要不要 帶外套
$$Weather,氣象局 發佈 豪雨 特報 了 嗎
$$Weather,要 帶傘 嗎
$$Weather,明天 新店 的 溫度
$$Weather,空氣 好 濕 ， 是不是 透 南風 了
$$Weather,我要去 基隆 要不要 帶傘
$$Weather,明天 會不會冷
$$Weather,週末 會 下雨 嗎
$$Other,現在 期貨 指數 是 多少
$$Other,重新 詢問
$$Weather,大直 天氣
$$Other,我想要查詢 5531 漲 幾點
$$Weather,周末 的 南投 萬里無雲 嗎
$$Weather,最近 空氣品質 是不是 很 糟糕
$$Weather,需要 圍巾 嗎
$$Other,各 股 基金 表現
$$Weather,有 下雨 嗎
$$Weather,禮拜二 台北 會不會下雨
$$Weather,最高 溫 多少
$$Other,請幫我找 扭轉 命運 的 樂章
$$Other,查詢 台中 開往 左營 的 高鐵票價
$$Weather,明天 氣溫 最低 幾度
$$Other,深坑端 往 北 好走 嗎
$$Weather,昨天 桃園 有沒有 下雨
$$Weather,清明節 假期 金門機場 會不會 起 大 霧
$$Weather,未來 一週 天氣 如何
$$Weather,明天 要不要 帶傘
$$Other,訂 十一月 二十日 二十 二點五 十三分 的 莒光號 要 六張 票
$$Other,捷 迅 納入 自訂 的 股票
$$Weather,今天 最高 溫度 是 幾度
$$Other,幫我查 半 導 股
$$Other,我想要查 現在幾點
$$Other,幫我問 股市 基金
$$Weather,外面 冷嗎
$$Other,結束
$$Weather,明天 的 體感溫度 多少
$$Weather,明天 天氣 不知道怎麼 樣 耶
$$Other,我想要問 一下 本 周 汽油 漲 還是 跌
$$Weather,明天 新店 會 出太陽 嗎
$$Other,台北 信義威秀 可以 開車去 嗎
$$Weather,這星期 會不會 有 颱風
$$Weather,彰化 的 空 污 很嚴重 嗎
$$Other,我要買 還 瑞 醫
$$Other,幫我問 自 選 股
$$Other,我要查 泉盛
$$Other,桃園 到 嘉義 的 高鐵 票 一張
$$Other,上禮拜 天 是 幾 號
$$Weather,明天 中壢 地區 是否會 有 午後雷陣雨
$$Weather,新店 現在 濕度 如何
$$Weather,今天 花蓮 的 天氣 如何
$$Weather,最新 的 颱風動態
$$Weather,新店 會 熱嗎
$$Weather,明天 最高 溫 幾度
$$Weather,晚上 天氣 會 變 涼嗎
$$Weather,會 下雪 嗎
$$Other,彩 卷 的 中獎號碼 是什麼
$$Weather,後天 飛 舊金山 需要 穿 厚 外套 嗎
$$Other,我想要查 38 樂合彩 開獎號碼
$$Weather,今天 吹 什麼 風
$$Other,國父紀念館 到 中山捷運站 很遠嗎
$$Weather,昨天 合歡山 天氣
$$Weather,你覺得 今天天氣 如何
$$Other,Ettoday 關於 台北市長 選情 的 評估
$$Other,查 九月 四號 下午 苗栗縣 國賓影城 上的 輔導 級 片子
$$Other,6417 跌 幾點
$$Weather,今天下午 台北市 的 AQI
$$Other,東浦 選 為我 的 自 選 股票
$$Other,岡山統一 3D 數位 戲院 位置 從 這裡 要怎麼去
$$Weather,有沒有 風
$$Weather,下 周 五 的 天氣 不知道 如何
$$Weather,外面 風 大 嗎
$$Weather,明天 空氣 污染 會 很嚴重 嗎
$$Weather,高雄 太陽 大 不大
$$Weather,明天 有放 颱風假 嗎
$$Weather,明天 台北 天氣 如何
$$Weather,明天 要不要 帶外套
$$Weather,新店 濕 嗎
$$Other,六點四 十九 分 信義威秀 有 適合 情侶 收看 的 片 嗎
$$Weather,嘉義 週末 幾度
$$Other,你知道 美麗華 怎麼去 嗎
$$Weather,陽明山 今天天氣 如何
$$Weather,下午 台北 天氣 如何
$$Weather,合歡山 現在 下雪 嗎
$$Other,能 講一下 現在幾點 嗎
$$Other,友勁 漲 多少 點
$$Weather,現在 台北 溫度 幾度
$$Other,我要查詢 1806 成交張數
$$Weather,今天 空氣 是不是 不太好
$$Weather,明天 陽明山 下雨 機率
$$Other,你 會 去 白沙屯站 嗎
$$Weather,台北 現在 天氣 如何
$$Weather,明天 的 天氣 怎樣
$$Other,顯示 我的 自 選 股票
$$Weather,今日 天氣
$$Weather,明天 要 帶雨傘
$$Other,高鐵 台中 到 台北 的 票 三張
$$Weather,風 大 不大 嗎
$$Weather,晚上 會 冷嗎
$$Weather,今天下午 四點 的 天氣狀況
$$Weather,阿里山 明天 會不會 起 霧
$$Other,上禮拜 台灣 期貨市場 分析
$$Other,我想知道 柴油 會不會 漲
$$Weather,明天 颱風 會不會 來
$$Weather,台中 明天 的 天氣
$$Other,日圓 換 台幣 最近有 漲 嗎
$$Weather,空氣品質 怎麼樣
$$Other,明天 衣服 要怎麼 穿著
$$Weather,台北 明天 早上 會不會很熱
$$Weather,昨天 下過雨 今天 還會 下 嗎
$$Weather,下午 會 下雨 嗎
$$Weather,貓空 今天早上 會不會 出太陽
$$Weather,早上 有點 熱 ， 下午 不知 會不會 變 涼
$$Weather,晚上 下雨 不知道 會不會 很容易 塞車
$$Weather,外面 會不會冷
$$Weather,桃園 現在有 下雨 嗎
$$Weather,請問 今天 會 下雨 嗎
$$Weather,台南 太陽大嗎
$$Weather,現在 窗戶 外面 幾度
$$Other,查 油價
$$Other,五月 六號 有上映 新片 嗎
$$Other,開啟 我的 股票
$$Weather,這 波 寒流 合歡山 會 下雪 嗎
$$Weather,這次 雨 會 下 到什麼 時候
$$Other,這裡是哪裡
$$Other,我想知道 國碩 歷史 股價
$$Weather,我要去 宜蘭 會不會下雨
$$Weather,晚點 會 下雨 嗎
$$Weather,台北 天氣 好嗎
$$Weather,外面 冷不冷
$$Weather,今日 風力 雨量 如何
$$Weather,明天 會 下雨 嗎
$$Other,我想查詢 台股 的 跌停
$$Other,我是 直接 講話 就好 嗎
$$Weather,這場 雨 下 到什麼 時候 才會 停
$$Other,我想問 四月 二十四 十點 零 一分 高鐵 板橋 到 苗栗 標準 車廂 多少錢
$$Weather,今天 台中 最 熱 幾度
$$Weather,明天 當地 的 十八 點 到 十九 點 會 下雨 嗎
$$Other,上個月 哪部 片子 最熱門
$$Weather,今天 有 午後雷陣雨 嗎
$$Other,你 講 錯了
$$Weather,現在 台北 有 下雨 嗎
$$Weather,風 大要 穿外套
$$Weather,明天 台北 溫度 幾度
$$Other,我要訂 一月 二十三 二十 二點二 十六分 從 台北 發 車 的 商務 車廂 四 人
$$Weather,會不會很熱
$$Weather,今天 會不會冷 或 下雨
$$Weather,雨 停了 沒有
$$Weather,明天 清晨 陽明山 上 會 起 霧 嗎
$$Other,上櫃股票 的 委 買 數量 有多少
$$Weather,要不要 帶傘 出門
$$Other,南州交流道 南下 一路 都 很 堵 是 車禍 嗎
$$Weather,明天 台北 大安區 降雨量 是 多少
$$Other,大盤 價 下跌 情況
$$Other,台南市 有 地方 上演 一代宗師 3D 嗎
$$Other,我想知道 現在 在哪
$$Weather,最近有 颱風 要來 嗎
$$Other,我想查 三九 樂合彩 的 中獎號碼
$$Other,請幫我找 自 選 股
$$Weather,去 新莊區 會不會下雨
$$Weather,請問 今天天氣 如何
$$Weather,大甲 今天 出太陽 嗎
$$Weather,你覺得 今天天氣 怎麼樣
$$Weather,是 空氣 糟 還是 陰天
$$Weather,明天 桃園 會 出太陽 嗎
$$Weather,台北 的 雨 什麼時候 停
$$Other,台北 聯絡線 現在 車 多 嗎
$$Weather,今天 適合 泡溫泉 嗎
$$Other,我 該怎麼 用 啊
$$Weather,明天 新店區 早晚 溫差 多大
$$Other,目前 所在地
$$Weather,雨 要 下 到什麼 時候 啊
$$Weather,太陽 這麼大 今天 幾度 啊
$$Weather,今天 紫外線 強 嗎
$$Weather,出門 要穿 外套 嗎
$$Other,幫我訂 六月 二十二 中午 四點 三十八 分 起站 新莊 到 浮洲 的 莒光號 來回票
$$Other,我想要問 樂透 的 中獎號碼
$$Weather,吃火鍋 的 季節 到了 沒有
$$Other,你知道 四星彩 中獎號碼 嗎
$$Other,請幫我問 股 盤 基金
$$Weather,是不是 要 下雪 了
$$Weather,明天 台北市 會 下雨 嗎
$$Weather,今天天氣 陰 陰 的 要 帶傘 嗎
$$Weather,台北 的 天氣 如何
$$Weather,台北 明天 下午 風 大 不大
$$Weather,台北 這週 的 天氣
$$Weather,最近 會 常 下雨 嗎
$$Other,幫我買 台股
$$Other,我想查 台東縣 有哪些 戲院
$$Weather,請問 紫外線 指數
$$Weather,今天 下雨 的 降雨 機率 如何
$$Weather,明天 看得到 滿月 嗎
$$Other,我要找 期貨 最近的 指數
$$Other,晚上 股票 櫃檯 指數 走勢
$$Other,查一下 雲林縣 林內鄉 中興 怎麼走
$$Weather,氣象預報 怎麼 講
$$Other,我想要去 日新戲院 地址
$$Other,請幫我查 F - 光麗
$$Weather,邁阿密 今天 的 天氣 如何
$$Weather,明天 幾度
$$Other,我想要知道 遠見 歷史 平盤
$$Weather,陽明山 開始 下雪 了 嗎
$$Weather,周末 紫外線 強 嗎
$$Weather,南投山區 的 春季 日夜 溫度 各 是 多少
$$Other,國道 三號 的 北上 路況
$$Other,嘉義縣 哪裡 可以 借 單車
$$Other,哲 固 增加 進 自 選 股票
$$Other,我想訂 往 二水站 的 火車票
$$Other,今天 二十一 點 二十六 分 真善美戲院 適合 情侶 的 愛情片 嗎
$$Weather,外面 天氣 如何
$$Other,中壢 南下 好不好 走
$$Weather,明天 溫差 很大 嗎
$$Weather,我想知道 星期三 的 天氣預報
$$Other,設定 自 選 股票 要怎麼 做
$$Weather,明天 哪裡 的 山區 會 下雪
$$Other,我想要查 楠梓電 跌 幾點
$$Weather,這 波 寒流 來 ， 陽明山 會不會 下雪
$$Other,四點 四十二分 在 國賓義大 的 蘇富比 偽 畫 大師 兩張
$$Weather,新竹 的 風 大 不大
$$Weather,今天 會 下雨 嗎
$$Weather,今天 的 天氣
$$Weather,今天天氣 好嗎
$$Weather,需要 擦 防曬 乳 嗎
$$Other,最近有 上 哪些 片
$$Other,導航 一下 埔鹽 交流道 去 善化 交流道
$$Weather,明天 天氣 如何
$$Weather,週日 適合 出遊 去 宜蘭 玩 嗎
$$Weather,這 周 會 下雨 嗎
$$Weather,屏東 紫外線 指數 多少
$$Other,石龜 開往 東部 的 車
$$Other,我想要找 樂透 中獎號碼
$$Weather,今天 幾度 啊
$$Other,國賓戲院 十 五點三 十九 分 的 戰爭片 要 開始 囉
$$Other,查詢 馬 幣 的 匯率
$$Other,幫我買 一張 日月光
$$Weather,今天 出門 不 帶傘 可以嗎
$$Weather,寒流 要 冷 到什麼 時候
$$Other,和春影城 的 位址
$$Weather,明天 上午 要 坐船 到 綠島 ， 風浪 大 嗎
$$Other,輕輕 搖晃 是什麼 電影
$$Weather,大安區 現在 天氣
$$Other,查一下 七點 十三分 從 大里 出發 開往 楊梅 的 區間 車
$$Weather,這週 天氣 怎樣
$$Weather,今天晚上 會不會冷
$$Weather,明天 白天 氣溫 是 幾度
$$Other,我想要問 3044 股價
$$Weather,明天 桃園 會不會 出太陽
$$Weather,今年 第一個 侵 台 的 颱風 會是 在 幾 月
$$Weather,最近 是不是 又 有 颱風
$$Other,今年 農曆 四月 一號 是 哪 時候
$$Weather,今天 是不是 會 變天
$$Weather,今天 新店 的 天氣 怎樣
$$Weather,這兩天 佳冬 會不會下雨
$$Other,我要 這個月 十一號 二十 點 零 四分 出發 拔林 站 到 台中 的 區間 車 的 票
$$Other,請幫我查 中山高速公路 海瑞 段 好走 嗎
$$Weather,明天 下午 台北 風 大 不大
$$Weather,現在 台北 天氣
$$Other,今天 適 不適合 洗 厚 被子
$$Other,想要 問 從 七張站 坐 多久 能 到 台北車站
$$Weather,今天 出大太陽 對吧
$$Other,我的 殭屍 女兒 在 哪些地方 播 了
$$Weather,這天 氣 要 熱 到什麼 時候
$$Other,跌停板 股市
$$Other,醫 手 遮 天 有 哪 幾個 影城 會 放
$$Other,我想要查 八月 二十七 日 三點二 十五 分 總統戲院 上的 那部 勵志 電影
$$Other,跌停 股票
$$Weather,明天 台北 的 最高 溫 是 多少
$$Weather,寒流 什麼時候 會 走
$$Weather,文山區 下午 降雨 機率 多大
$$Weather,明天 會不會下雨
$$Weather,明天 需要 穿 雨鞋 嗎
$$Weather,需要 帶外套 嗎
$$Other,幫我查 中午 基隆秀泰 有哪些 驚悚 電影
$$Weather,明天 台北 會 冷嗎
$$Other,南州交流道 往 內湖 有多遠
$$Weather,請問 台中 是 晴 是 雨
$$Other,二月 十四號 有很多 適合 情人 的 電影
$$Weather,現在 板橋 有 下雨 嗎
$$Other,我要 讓 研華 加 進 自 選 股
$$Weather,明天 也會 下雨 嗎
$$Weather,下週 天氣 好嗎
$$Other,我想要查詢 燁聯 跌 還是 漲
$$Other,幫我訂 三月 一號 凌晨 從 左營 到 板橋 的 高鐵
$$Other,購買 高鐵 這個月 二十三 日 晚上 十七 點 五十 二分 出發 起點 台中站 到 台北車站 商務 車廂 二 個人
$$Other,這部 新電影 哪 時候 上映
$$Weather,今天 溫差大 嗎
$$Weather,這種 陰雨 綿綿 的 天氣 什麼時候 才會 結束
$$Other,情人節 上午 五點 十二分 富都戲院 有 限制級 片子
$$Other,東台灣 那裡有好吃 的 巧克力
$$Other,五月 十四 日 半夜 零點 零 一分 板橋 秀泰 鬼 地方
$$Other,二十三號 凌晨 的 高鐵 票 自由 座 一張
$$Weather,今天晚上 會 冷嗎
$$Weather,明天 會不會 很 悶
$$Weather,明天 當地 會有 豪雨 嗎
$$Weather,今晚 在附近 山區 有沒有 下雨
$$Other,我要找 台中市 學田路 請教 我 怎麼走
$$Weather,請告訴我 東京 未來 一週 的 天氣
$$Other,台南市 平通路 那裡有 什麼 好玩的
$$Other,用 台幣 買入 黃金 划算 嗎
$$Weather,今天 要 帶雨傘 出門 嗎
$$Weather,禮拜天 會 下雨 嗎
$$Weather,等下 碧潭 會不會下雨
$$Other,我想查 時刻
$$Weather,星期六 新店 下雨 嗎
$$Weather,桃園 有 下雨 嗎
$$Other,我想要問 松山 到 石牌 捷運站 花 多少 時間
$$Weather,文山區 現在有 下雨 嗎
$$Weather,今天 桃園 天氣 如何
$$Weather,今天 中壢區 的 紫外線 指數 多少
$$Other,我想訂 十二點 五十 一分 在 板橋 秀泰 的 頭 文字 D 四 張
$$Weather,這週 有 哪天 會 下雨
$$Weather,你覺得 等等 會 下雨 嗎
$$Weather,五月 六號 十八尖山 的 天氣
$$Other,我需要 汐止 火車站 往 大溪站 的 自強 車票
$$Weather,今天 下雨 的 機率 大 不大
$$Weather,昨天 高雄 太陽 大 不大
$$Other,下個月 十六號 在 威秀 上映 的 動作片 是 哪部
$$Weather,明天 寒流 會不會 來
$$Other,超眾 今天 開盤 價 是 多少
$$Other,好想 看 新的 神奇寶貝 電影 第 十七 部 喔
$$Other,我 很好奇 現在幾點 了
$$Weather,下午 會不會 打雷
$$Weather,星期天 高雄 的 空氣品質 好嗎
$$Weather,明天 新店 會 變冷 嗎
$$Other,買 一百萬 兩 黃金 要多少錢
$$Other,幫我查 愚人節 那天 下午 隨便 自強號 的 站 位 到 台東
$$Weather,明天 雲林 有雨 嗎
$$Weather,新店 明天 會 下雨 嗎
$$Other,食品 股 走勢
$$Weather,新店 明天 天氣
$$Other,不是
$$Other,我想要查 五月 二十五號 晚上 南投戲院 可以 給 小孩 觀賞 的 電影
$$Weather,日月潭 下週 一 的 天氣 好不好
$$Other,最近 美麗華 有 懸疑 片 上映 嗎
$$Other,柴油 跌 還是 漲 了
$$Other,可以買 嗎 三商
$$Other,屏東 車站 開往 新竹 的 自強號 一張
$$Weather,今天天氣 怎樣
$$Other,請幫我找 從 永康 交流道 到 平鎮 二 的 距離
$$Weather,颱風 什麼時候 會 來
$$Weather,我等 等 出門 要 帶傘 嗎
$$Other,最近的 ibike 在哪
$$Other,有沒有 九月 十八日 的 新電影 資訊
$$Weather,什麼時候 會 變 涼
$$Other,這個月 的 十三 是 禮拜幾
$$Weather,明天 台北 天氣 溫度 如何
$$Other,想要 查 頭屋 一 交流道 往 新營 好 開 嗎 有多遠
$$Weather,台北 冷不冷 我不想 帶外套 耶 很麻煩
$$Weather,你覺得 今天 應該 穿 什麼 衣服
$$Weather,明天 新店 是 陰天 嗎
$$Other,請幫我查 去 桃園市 南華三街 湖口 交流道 的 路線
$$Other,查 這個月 台 指 期
$$Weather,明天 出 遠門 看一下 要不要 帶 雨具
$$Other,推薦 一下 熱門 電影 啊
$$Weather,現在有 下雨 嗎
$$Weather,太陽 大 不大
$$Weather,是否有 颱風假 的 消息
$$Other,我想問 可以買 永大 嗎
$$Weather,現在 外面 再 下雨 嗎
$$Weather,外面 有沒有 陰 陰 的
$$Other,上週 三十 六點五 十八分 南投縣 有播 電影
$$Weather,明天 新店 天氣 如何
$$Weather,我想問 有沒有 下雨
$$Weather,下禮拜 天氣 如何
$$Other,宜蘭羅東 周邊 的 拉麵店
$$Weather,晚上 會 下雨 嗎
$$Other,加權 大盤 分析
$$Weather,明天 氣溫 幾度 到 幾度
$$Other,我想問 一月 二十四號 晚上 零點 二十六 分 復興號 還有 位置 嗎
$$Other,幫我查 凌晨 一點 五十 四分 從 台北 出發 往 終點 站 高雄 的 火車票
$$Weather,今天 蘆洲 氣溫 多少
$$Other,幫我找 五月 十號 新上 的 電影 是 哪部
$$Weather,明天 當地 會 低於 十五 度 嗎
$$Weather,目前 新莊區 的 風速 及 風向
$$Weather,星期六 適合 曬 衣服 嗎
$$Weather,宜蘭 晚上 雨 會 停 嗎
$$Weather,明天 會 出太陽 嗎
$$Weather,未來 一週 台北 都是 晴天 嗎
$$Other,幫我問 漲停板 的 各 股
$$Weather,明天 下午 當地 是 陰天 嗎
$$Weather,明天 的 溫差 很大 嗎
$$Weather,明天 新北市 新店區 的 天氣
$$Weather,基隆 下午 會 下雨 嗎
$$Weather,好 熱 哦 ， 現在 到底 室外 幾度 啊
$$Other,附近有哪些 平價 有名的 丼飯
$$Other,起點 是 林鳳營 火車站 開往 鶯歌站 的 莒光號
$$Weather,後天 有辦法 曬棉被 嗎
$$Weather,台北 明天 會 很熱 嗎
$$Other,幫我查詢 大盤 指數 成交量
$$Other,我的 殭屍 女兒 有 那些 演員
$$Weather,明天 去 台南 要 帶傘 嗎
$$Other,璟德 有 前途 嗎
$$Other,上櫃股票 漲跌
$$Weather,最近 天氣 會有 什麼 變化
$$Weather,颱風 什麼時候 會到
$$Weather,今日 紫外線 指數 如何
$$Weather,大台北地區 今天 的 最低 溫和 最高 溫
$$Other,我想問 金價 的 漲幅
$$Other,油價
$$Weather,這 一週 都 很 炎熱 嗎
$$Other,我想問 我的 股票
$$Other,問 什麼東西
$$Weather,昨天 大太陽 今天 怎麼 下起雨 是怎麼 了
$$Weather,明天 最低 溫 幾度
$$Weather,你覺得 我要 帶傘 出門 嗎
$$Other,要找 期貨 的 價格
$$Weather,明天 早上 幾度
$$Other,訂 一張 台中 往 桃園 的 莒光號 車票 時間 隨意
$$Weather,今天天氣
$$Weather,明天 早上 十點 會不會 出太陽
$$Other,屏東 電影院 最近有 好看的 限制級 電影 嗎
$$Weather,明天 下午 是否 適合 運動
$$Other,我想要知道 大坪林站 到 機 捷 要 花 多少 時間
$$Other,附近有 ibike 的 點 嗎
$$Other,哪 時候 有 台南 開往 高雄 的 莒光號 有 這種 車 嗎
$$Weather,雲林 天氣 如何
$$Weather,這 周 台北 天氣 如何
$$Other,要找 集中 市場 走向
$$Weather,明天 會不會 太熱 太 冷
$$Other,我想問 台東縣 香山區 有沒有 電影院
$$Other,新北市 八里區 下罟子 該怎麼到
$$Weather,告訴我 現在 的 天氣
$$Weather,下午 晚上 台北 會不會下雨
$$Other,用 美金 買 黃金 划算 嗎
$$Other,澳幣 換 台幣
$$Weather,明天 氣溫
$$Weather,想知道 下雨 機率
$$Other,我想要查 今日 匯率
$$Weather,明天 新店 會 很冷 嗎
$$Weather,白沙灣 的 海風 強 嗎 氣溫 是 多少
$$Weather,台東 很熱 嗎
$$Weather,五月 一號 台北 的 天氣 如何
$$Weather,新店 天氣
$$Other,電器 股 推薦 哪家 比較好
$$Other,設定 自 選 股票
$$Other,現在 的 風 是不是 到達 停課 標準 了
$$Weather,今天 幾度
$$Other,悅城 今天 成交價 多少
$$Other,國曆 十一月 八 日 等於 農曆 的 幾月幾號
$$Weather,外面 太陽很大嗎
$$Weather,今天 的 體感溫度 為 幾度
$$Other,我想買 中廣
$$Weather,這 雨 會 下 多久
$$Other,訂 三點三 十五 分 之後 日新 威秀 的 電影
$$Other,我想要找 股市 基金
$$Weather,周末 天氣 如何
$$Weather,三 年內 同天 天氣
$$Other,這 該怎麼 用
$$Other,捷運 新莊站 到 捷運 善導寺站 要 多久
$$Weather,現在 南港 有 下雨 嗎
$$Other,想要 問 現在幾點
$$Weather,台北 下午 會 下雨 嗎
$$Weather,今天 台北 天氣 如何
$$Weather,現在 台北 幾度
$$Weather,明天 早上 中研院 一帶 會 下雨 嗎
$$Weather,下午 台北 會 下雨 嗎
$$Weather,下午 會不會下雨
$$Other,幫我查詢 自 選 股票
$$Weather,新店 雨大嗎
$$Weather,新店 明天 的 空氣品質 很 差 嗎
$$Weather,下週 三 是不是 晴天
$$Weather,這禮拜 天氣 的 變化
$$Weather,這個 颱風 威力 有 多 強
$$Weather,今年 梅雨 季 什麼時候 到
$$Other,投資 環 瑞 醫 好嗎
$$Weather,今天 有沒有 空氣 污染
$$Weather,今天下午 會 下雨 嗎
$$Other,我想要找 南非 幣 匯率
$$Other,查一下 賣出 金價
$$Weather,今天 要不要 穿外套
$$Other,時代雜誌 有 報導 柯文哲 的 新聞 嗎
$$Other,導航 到 愛蘭 交流道 要 花 多少 時間
$$Weather,基隆 等一下 會 下雨 嗎
$$Weather,現在 台北 的 天氣
$$Weather,阿里山 最近 三 天 的 天氣
$$Weather,現在 新竹 有 下雨 嗎
$$Weather,明天 適合 洗車 嗎
$$Other,F - 諾 爾 加 到 投資 組合
$$Weather,今天 需要 帶外套 嗎
$$Weather,下週 天氣 如何
$$Weather,今天 氣溫 幾度
$$Weather,台南 天氣 如何
$$Weather,長庚 會 起 霧 嗎
$$Other,我要找 十二點 三十七 分開 往 台中 的 高鐵 車票
$$Weather,陽明山 現在 氣溫 幾度
$$Weather,氣象預報
$$Weather,明天 要不要 帶傘 出門
$$Other,東南亞 秀泰 在哪裡 啊
$$Weather,外面 雨大嗎
$$Other,京站威秀 明天 下午 一點 的 冰 毒 還有 位置 嗎
$$Weather,倫敦 有 下雨 嗎
$$Weather,寒流 甚麼 時候 來
$$Other,我想要查 大 毅 歷史 漲 多少
$$Weather,新竹 今天 會 熱嗎
$$Other,哈囉
$$Weather,會 下雨 嗎
$$Other,我想知道 可以買 中廣 嗎
$$Weather,現在 氣溫 幾度
$$Other,我想買 三張 台積電
$$Other,幫我找 股 盤 行情
$$Weather,今天 要穿 涼鞋 還是 雨鞋
$$Weather,下星期 沖繩 天氣 好嗎
$$Other,十三 日 威秀 有 上新 的 紀錄片 喔
$$Weather,晚上 的 氣溫 如何
$$Weather,明天 會不會 很 悶熱
$$Other,我想知道 航運 股 能 買 嗎
$$Weather,台中 天氣 怎樣
$$Other,不正 確
$$Weather,今晚 風速 多大
$$Weather,假日 的 天氣 適合 出遊 嗎
$$Other,請幫我問 可不可以 買光 環
$$Weather,為什麼 最近 雨 一直 下 不停
$$Other,我想要問 台 八十六 線 北上 車 流 多 嗎
$$Weather,信義區 後天 下午 會 下雨 嗎
$$Weather,下禮拜 天氣 怎麼樣
$$Other,訂 凌晨 兩點 零 四分 新竹 到 左營 的 高鐵 票
$$Weather,週末 新竹 會不會下雨
$$Weather,明天 台北 雨 會不會 下 很大
$$Other,這 期 的 六合彩開獎 號碼
$$Other,醫 手 遮 天 的 演員 有 誰
$$Other,幫我查 4994 的 成交價
$$Weather,現在 台北 的 濕度
$$Other,頭 文字 D 的 劇情大綱 是什麼
$$Weather,你 那邊 天氣 怎樣
$$Weather,今天天氣 如何
$$Weather,明天 風 大 嗎
$$Other,說說 八月 十一 清晨 有 推薦 什麼 電影
$$Weather,今天 霧 霾 指數 高 嗎
$$Other,幫我查 可以買 撼 訊 嗎
$$Weather,今天 風 大 不大
$$Weather,不知道 明天 會不會下雨
$$Other,我要找 國賓影城 的 地址
$$Weather,什麼時候 下雪
$$Weather,今天 午後 適合 出門 嗎
$$Weather,這個 週末 宜蘭 的 下雨 機率
$$Other,幫 我 從 西濱 交流道 導航 到 新店 交流道
$$Weather,明天 桃園市 大溪 區 會 下雨 嗎
$$Weather,禮拜五 會 下雨 還是 放晴
$$Weather,板橋 有 出太陽 嗎
$$Weather,下雨 了 嗎
$$Weather,今天下午 出門 要不要 帶傘
$$Weather,陽明山 會 下雪 嗎
$$Other,幫 我 定位
$$Other,秀泰 有哪些 電影
$$Weather,墾丁 的 紫外線 強 嗎
$$Weather,晚上 出門 要 帶雨傘 嗎
$$Weather,台北 今天 的 最高 溫
$$Weather,什麼時候 才會 出太陽
$$Other,可以說 什麼
$$Other,我要知道 麗嬰房 今日 走勢
$$Weather,明天 有 寒流 嗎
$$Other,請問 跌停 股
$$Weather,明天 天氣 怎麼樣
$$Other,不對
$$Weather,花蓮 明天 是不是有 颱風
$$Weather,什麼時候 天氣 會 變冷
$$Other,明天 是 農曆 哪一天
